target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q12851_WT	Test set	39:25		-0.04026381159801356	0.390625	0.4928205128205128	0.96	0.02564102564102564	0.3870967741935484	0.5	0.5517241379310344	0.39794871794871794	0.602051282051282
Q09013_WT		0:2	Only one activity class in traing set for temporal split at 2013										
Q08345_WT	Fold 1	6:8		0.5773502691896257	0.7857142857142857	0.7916666666666667	0.75	0.8333333333333334	0.8571428571428571	0.7142857142857143	0.7999999999999999	0.25	0.75
Q08345_WT	Fold 2	7:7		0.5222329678670935	0.7142857142857143	0.7142857142857143	1.0	0.42857142857142855	0.6363636363636364	1.0	0.7777777777777778	0.40816326530612246	0.5918367346938775
Q08345_WT	Fold 3	6:7		0.7319250547113999	0.8461538461538461	0.8571428571428572	0.7142857142857143	1.0	1.0	0.75	0.8333333333333333	0.16666666666666669	0.8333333333333333
Q08345_WT	Fold 4	6:7		0.6904761904761905	0.8461538461538461	0.8452380952380952	0.8571428571428571	0.8333333333333334	0.8571428571428571	0.8333333333333334	0.8571428571428571	0.14285714285714282	0.8571428571428572
Q08345_WT	Fold 5	6:7		0.07142857142857142	0.5384615384615384	0.5357142857142857	0.5714285714285714	0.5	0.5714285714285714	0.5	0.5714285714285714	0.4523809523809524	0.5476190476190476
Q08345_WT	Mean	-		0.5186826107345761	0.7461538461538462	0.7488095238095238	0.7785714285714287	0.719047619047619	0.7844155844155845	0.7595238095238096	0.7679365079365079	0.28401360544217685	0.7159863945578231
Q08345_WT	SD	-		0.21543601092263692	0.10465554682030002	0.10760482417596827	0.13106056137640842	0.19891998642100406	0.14395485383890036	0.14875395787972445	0.09307237751405219	0.11446475286029824	0.11446475286029824
Q08345_WT	Test set	109:31		0.07741380566084793	0.6928571428571428	0.5372891387984611	0.25806451612903225	0.8165137614678899	0.2857142857142857	0.7946428571428571	0.2711864406779661	0.36845220479431784	0.6315477952056822
Q07912_WT	Fold 1	10:69		0.5264489080629066	0.9113924050632911	0.6927536231884058	0.9855072463768116	0.4	0.918918918918919	0.8	0.951048951048951	0.11884057971014492	0.8811594202898552
Q07912_WT	Fold 2	10:69		0.4171529253726958	0.8860759493670886	0.6782608695652175	0.9565217391304348	0.4	0.9166666666666666	0.5714285714285714	0.9361702127659574	0.09855072463768116	0.9014492753623188
Q07912_WT	Fold 3	11:68		0.5179180570585942	0.8987341772151899	0.7125668449197861	0.9705882352941176	0.45454545454545453	0.9166666666666666	0.7142857142857143	0.9428571428571428	0.3315508021390374	0.6684491978609626
Q07912_WT	Fold 4	11:68		0.4074233193385228	0.8860759493670886	0.6290106951871658	0.9852941176470589	0.2727272727272727	0.8933333333333333	0.75	0.9370629370629371	0.21256684491978609	0.7874331550802138
Q07912_WT	Fold 5	10:68		0.43241566442052953	0.8974358974358975	0.6426470588235295	0.9852941176470589	0.3	0.9054054054054054	0.75	0.943661971830986	0.18382352941176472	0.8161764705882353
Q07912_WT	Mean	-		0.4602717748506498	0.8959428756897111	0.6710478183368209	0.9766410912190964	0.3654545454545455	0.9101981981981982	0.7171428571428572	0.9421602431131948	0.18906649616368285	0.8109335038363172
Q07912_WT	SD	-		0.04678080826436826	0.008596713578629534	0.028345259757458014	0.010565540160689028	0.06219138682358936	0.008823526016742118	0.07102265615333485	0.004892391707078605	0.07528425773691037	0.07528425773691039
Q07912_WT	Test set	127:264		0.18642234815712708	0.6956521739130435	0.5417114053925077	0.9810606060606061	0.10236220472440945	0.6943699731903485	0.7222222222222222	0.8131868131868132	0.3831871868289191	0.6168128131710808
Q07002_WT		1:0	Only one activity class in traing set for temporal split at 2013										
Q06418_WT	Fold 1	15:159		0.48301038085739845	0.9310344827586207	0.6905660377358491	0.9811320754716981	0.4	0.9454545454545454	0.6666666666666666	0.9629629629629629	0.18238993710691825	0.8176100628930818
Q06418_WT	Fold 2	14:159		0.5813864498607038	0.9479768786127167	0.6785714285714286	1.0	0.35714285714285715	0.9464285714285714	1.0	0.9724770642201834	0.09029649595687332	0.9097035040431267
Q06418_WT	Fold 3	15:158		0.5029139341794086	0.9364161849710982	0.6635021097046413	0.9936708860759493	0.3333333333333333	0.9401197604790419	0.8333333333333334	0.9661538461538461	0.18607594936708863	0.8139240506329114
Q06418_WT	Fold 4	15:158		0.5029139341794086	0.9364161849710982	0.6635021097046413	0.9936708860759493	0.3333333333333333	0.9401197604790419	0.8333333333333334	0.9661538461538461	0.2177215189873418	0.7822784810126582
Q06418_WT	Fold 5	15:158		0.2757600259898796	0.9017341040462428	0.6143459915611814	0.9620253164556962	0.26666666666666666	0.9325153374233128	0.4	0.9470404984423676	0.19409282700421943	0.8059071729957805
Q06418_WT	Mean	-		0.46919694501335973	0.9307155670719555	0.6620975354555483	0.9860998328158586	0.33809523809523806	0.9409275950529027	0.7466666666666667	0.9629576435866412	0.1741153456844883	0.8258846543155117
Q06418_WT	SD	-		0.09351364282450353	0.014159648484909653	0.023685439896045206	0.012329620794976683	0.03945969172906685	0.004524475896879129	0.18519259244445038	0.00779322706734467	0.03987004427578761	0.03987004427578763
Q06418_WT	Test set	102:143		0.24422725128852896	0.636734693877551	0.5693473193473193	0.972027972027972	0.16666666666666666	0.6205357142857143	0.8095238095238095	0.7574931880108992	0.27101330042506516	0.7289866995749349
Q06187_WT	Fold 1	23:150		0.6633553143924186	0.930635838150289	0.7575362318840579	0.9933333333333333	0.5217391304347826	0.93125	0.9230769230769231	0.9612903225806452	0.13231884057971016	0.8676811594202899
Q06187_WT	Fold 2	24:149		0.6780373767413103	0.930635838150289	0.7674776286353467	0.9932885906040269	0.5416666666666666	0.9308176100628931	0.9285714285714286	0.961038961038961	0.12751677852348992	0.8724832214765101
Q06187_WT	Fold 3	23:149		0.6050947275289871	0.9186046511627907	0.7508024511234316	0.9798657718120806	0.5217391304347826	0.9299363057324841	0.8	0.954248366013072	0.060402684563758385	0.9395973154362416
Q06187_WT	Fold 4	23:149		0.6139726259633641	0.9186046511627907	0.7691858768602275	0.9731543624161074	0.5652173913043478	0.9354838709677419	0.7647058823529411	0.9539473684210527	0.11992996790195508	0.8800700320980449
Q06187_WT	Fold 5	23:149		0.8213148061525846	0.9593023255813954	0.9029763641669099	0.9798657718120806	0.8260869565217391	0.9733333333333334	0.8636363636363636	0.9765886287625419	0.02713743799241319	0.9728625620075868
Q06187_WT	Mean	-		0.6763549701557329	0.9315566608415109	0.7895957105339948	0.9839015659955257	0.5952898550724638	0.9401642240192907	0.8559981195275312	0.9614227293632546	0.09346114191226536	0.9065388580877347
Q06187_WT	SD	-		0.07089282361456604	0.013583242434158427	0.0521115320293794	0.007361522943373205	0.1063535923533156	0.015239906015522066	0.0595746811478757	0.007500242495732592	0.03843176026827608	0.038431760268276056
Q06187_WT	Test set	927:203		0.0991751146399399	0.4557522123893805	0.5624823972664615	0.729064039408867	0.3959007551240561	0.20903954802259886	0.8696682464454977	0.32491767288693746	0.35431313469478853	0.6456868653052116
Q05655_WT	Fold 1	35:171		0.7052488193210538	0.9223300970873787	0.8168755221386801	0.9766081871345029	0.6571428571428571	0.9329608938547486	0.8518518518518519	0.9542857142857143	0.050793650793650794	0.9492063492063492
Q05655_WT	Fold 2	34:171		0.6080905710923081	0.9024390243902439	0.7530099759201927	0.9766081871345029	0.5294117647058824	0.912568306010929	0.8181818181818182	0.943502824858757	0.09408324733402135	0.9059167526659786
Q05655_WT	Fold 3	35:170		0.6878068146918741	0.9170731707317074	0.8138655462184874	0.9705882352941176	0.6571428571428571	0.9322033898305084	0.8214285714285714	0.9510086455331412	0.06941176470588237	0.9305882352941177
Q05655_WT	Fold 4	35:170		0.6924251447141511	0.9170731707317074	0.8252100840336134	0.9647058823529412	0.6857142857142857	0.9371428571428572	0.8	0.9507246376811594	0.08991596638655464	0.9100840336134455
Q05655_WT	Fold 5	35:170		0.6125905905483537	0.8926829268292683	0.7991596638655463	0.9411764705882353	0.6571428571428571	0.9302325581395349	0.696969696969697	0.935672514619883	0.09983193277310924	0.9001680672268908
Q05655_WT	Mean	-		0.6612323880735482	0.910319677954061	0.801624158435304	0.96593739250086	0.6373109243697479	0.9290216009957156	0.7976863876863878	0.947038867395731	0.08080731239864368	0.9191926876013563
Q05655_WT	SD	-		0.03831168580483131	0.010071653190880046	0.02348107050050045	0.011999874486301151	0.05027429879864	0.00778646200023366	0.048419789444606294	0.0061040751845575164	0.0165923305396872	0.01659233053968719
Q05655_WT	Test set	71:30		0.26938581530045475	0.5643564356435643	0.642018779342723	0.8333333333333334	0.4507042253521127	0.390625	0.8648648648648649	0.5319148936170213	0.25915492957746483	0.7408450704225352
Q05513_WT	Fold 1	5:165		0.5327417265696215	0.9705882352941176	0.7909090909090909	0.9818181818181818	0.6	0.9878048780487805	0.5	0.9848024316109422	0.06666666666666665	0.9333333333333333
Q05513_WT	Fold 2	4:165		0.5686315610810878	0.9822485207100592	0.746969696969697	0.9939393939393939	0.5	0.9879518072289156	0.6666666666666666	0.9909365558912386	0.01818181818181818	0.9818181818181818
Q05513_WT	Fold 3	4:165		0.8634129531752713	0.9940828402366864	0.875	1.0	0.75	0.9939759036144579	1.0	0.9969788519637462	0.0	1.0
Q05513_WT	Fold 4	5:164		0.4322631620224943	0.9704142011834319	0.6939024390243902	0.9878048780487805	0.4	0.9818181818181818	0.5	0.9848024316109422	0.01951219512195122	0.9804878048780488
Q05513_WT	Fold 5	5:164		0.7699162839798555	0.9881656804733728	0.8	1.0	0.6	0.9879518072289156	1.0	0.993939393939394	0.05975609756097559	0.9402439024390243
Q05513_WT	Mean	-		0.633393137365666	0.9810998955795336	0.7813562453806357	0.9927124907612711	0.5700000000000001	0.9879005155878502	0.7333333333333333	0.9902919330032527	0.032823355506282334	0.9671766444937177
Q05513_WT	SD	-		0.1451009536300884	0.008606979478985288	0.054830955644025924	0.006461314405765037	0.1064581294844754	0.0035099746429108278	0.20637972912229677	0.004447914234128152	0.023592642135406308	0.02359264213540632
Q05513_WT	Test set	12:65		0.26696803146549475	0.8571428571428571	0.5416666666666666	1.0	0.08333333333333333	0.8552631578947368	1.0	0.9219858156028369	0.2935897435897436	0.7064102564102565
Q05397_WT	Fold 1	25:169		0.52225227174852	0.9072164948453608	0.7081656804733728	0.9763313609467456	0.44	0.9217877094972067	0.7333333333333333	0.9482758620689654	0.1332544378698225	0.8667455621301775
Q05397_WT	Fold 2	25:169		0.24946566358928113	0.8608247422680413	0.5963313609467455	0.9526627218934911	0.24	0.8944444444444445	0.42857142857142855	0.9226361031518624	0.16189349112426035	0.8381065088757397
Q05397_WT	Fold 3	25:169		0.46696971551111094	0.9020618556701031	0.6540828402366864	0.9881656804733728	0.32	0.907608695652174	0.8	0.9461756373937678	0.08568047337278108	0.9143195266272189
Q05397_WT	Fold 4	25:169		0.5558065755323157	0.9123711340206185	0.7281656804733727	0.9763313609467456	0.48	0.9269662921348315	0.75	0.9510086455331412	0.14319526627218934	0.8568047337278106
Q05397_WT	Fold 5	25:168		0.7075883879730388	0.9378238341968912	0.8280952380952381	0.9761904761904762	0.68	0.9534883720930233	0.8095238095238095	0.9647058823529412	0.05785714285714287	0.9421428571428572
Q05397_WT	Mean	-		0.5004165228708534	0.9040596122002029	0.702968160045083	0.9739363200901663	0.43200000000000005	0.920859102764336	0.7042857142857143	0.9465604261001357	0.11637616229923922	0.8836238377007607
Q05397_WT	SD	-		0.13574489692650538	0.02270211076549448	0.07080477423923542	0.010579810476269423	0.13740451229854136	0.018148171405544266	0.12857436798521188	0.012413086174085434	0.03521994866229434	0.03521994866229435
Q05397_WT	Test set	402:540		0.18012747385934483	0.6125265392781316	0.581301824212272	0.7944444444444444	0.3681592039800995	0.6281112737920937	0.5714285714285714	0.7015535568274733	0.31529390086604014	0.6847060991339597
Q04912_WT	Fold 1	10:68		0.521536192416212	0.9102564102564102	0.65	1.0	0.3	0.9066666666666666	1.0	0.9510489510489509	0.17205882352941176	0.8279411764705882
Q04912_WT	Fold 2	10:68		0.4230217115244236	0.8974358974358975	0.6	1.0	0.2	0.8947368421052632	1.0	0.9444444444444444	0.22499999999999998	0.7750000000000001
Q04912_WT	Fold 3	10:68		0.4649478149085501	0.8974358974358975	0.6852941176470588	0.9705882352941176	0.4	0.9166666666666666	0.6666666666666666	0.9428571428571428	0.3044117647058824	0.6955882352941176
Q04912_WT	Fold 4	11:67		0.573792932370493	0.9102564102564102	0.6818181818181819	1.0	0.36363636363636365	0.9054054054054054	1.0	0.950354609929078	0.16282225237449122	0.8371777476255089
Q04912_WT	Fold 5	10:67		0.4318217769232444	0.8961038961038961	0.6425373134328358	0.9850746268656716	0.3	0.9041095890410958	0.75	0.9428571428571428	0.1253731343283582	0.8746268656716418
Q04912_WT	Mean	-		0.48302408562858457	0.9022977022977023	0.6519299225796154	0.9911325724319578	0.31272727272727274	0.9055170339770194	0.8833333333333332	0.9463124582273519	0.19793319498762868	0.8020668050123714
Q04912_WT	SD	-		0.05207507206926409	0.005948663616574916	0.02826994906162873	0.010759974503847964	0.06223566691949722	0.006374975338680303	0.1326370709590369	0.003320171650611985	0.05662378995799171	0.05662378995799171
Q04912_WT	Test set	33:44		0.545544725589981	0.7792207792207793	0.7651515151515151	0.8636363636363636	0.6666666666666666	0.7755102040816326	0.7857142857142857	0.8172043010752688	0.15013774104683195	0.849862258953168
Q04771_WT	Fold 1	9:72		0.1968903826620542	0.8888888888888888	0.5486111111111112	0.9861111111111112	0.1111111111111111	0.8987341772151899	0.5	0.9403973509933775	0.25308641975308643	0.7469135802469136
Q04771_WT	Fold 2	9:71		0.3160053053730427	0.9	0.5555555555555556	1.0	0.1111111111111111	0.8987341772151899	1.0	0.9466666666666668	0.2081377151799687	0.7918622848200313
Q04771_WT	Fold 3	9:71		-0.070276050320023	0.85	0.4788732394366197	0.9577464788732394	0.0	0.8831168831168831	0.0	0.918918918918919	0.4475743348982786	0.5524256651017214
Q04771_WT	Fold 4	9:71		0.3160053053730427	0.9	0.5555555555555556	1.0	0.1111111111111111	0.8987341772151899	1.0	0.9466666666666668	0.295774647887324	0.704225352112676
Q04771_WT	Fold 5	9:71		0.13794928396152661	0.875	0.5414710485133021	0.971830985915493	0.1111111111111111	0.8961038961038961	0.3333333333333333	0.9324324324324325	0.3145539906103286	0.6854460093896714
Q04771_WT	Mean	-		0.17931484540992865	0.8827777777777778	0.5360133020344289	0.9831377151799687	0.08888888888888888	0.8950846621732698	0.5666666666666667	0.9370164071356125	0.3038254216657973	0.6961745783342027
Q04771_WT	SD	-		0.13018204439986938	0.017153386928754694	0.02651187749295814	0.015000396605375534	0.04057204129667897	0.005541110801265866	0.3548604316149181	0.00954129361630733	0.07368203161011656	0.07368203161011658
Q04771_WT	Test set	70:33		-0.14420886681055886	0.3106796116504854	0.48484848484848486	0.9696969696969697	0.0	0.3137254901960784	0.0	0.4740740740740741	0.4233766233766234	0.5766233766233766
Q04759_WT	Fold 1	30:84		0.8620690731682044	0.9473684210526315	0.9107142857142858	0.9880952380952381	0.8333333333333334	0.9431818181818182	0.9615384615384616	0.9651162790697674	0.03293650793650793	0.9670634920634921
Q04759_WT	Fold 2	30:84		0.7486915080394421	0.9035087719298246	0.8702380952380953	0.9404761904761905	0.8	0.9294117647058824	0.8275862068965517	0.9349112426035503	0.03769841269841269	0.9623015873015872
Q04759_WT	Fold 3	30:84		0.7194697895780625	0.8947368421052632	0.8107142857142857	0.9880952380952381	0.6333333333333333	0.8829787234042553	0.95	0.9325842696629214	0.06746031746031744	0.9325396825396824
Q04759_WT	Fold 4	30:84		0.7175105773237274	0.8947368421052632	0.8321428571428571	0.9642857142857143	0.7	0.9	0.875	0.9310344827586207	0.0365079365079365	0.9634920634920635
Q04759_WT	Fold 5	31:83		0.7294252642593568	0.8947368421052632	0.8569762922658375	0.9397590361445783	0.7741935483870968	0.9176470588235294	0.8275862068965517	0.9285714285714286	0.09094442285270113	0.9090555771472988
Q04759_WT	Mean	-		0.7554332424737586	0.9070175438596492	0.8561571632150724	0.964142283419392	0.7481720430107528	0.914643873023097	0.888342175066313	0.9384435405332576	0.05310951949117513	0.9468904805088247
Q04759_WT	SD	-		0.0497067479961901	0.01867686482183777	0.03113723720915339	0.01958798675498435	0.06598506927750358	0.019402099461522188	0.0527888446246873	0.012319333697674791	0.02064578439633288	0.020645784396332908
Q04759_WT	Test set	126:46		0.02405322730546019	0.31976744186046513	0.5081090407177363	0.9130434782608695	0.10317460317460317	0.2709677419354839	0.7647058823529411	0.417910447761194	0.33178053830227744	0.6682194616977226
Q02779_WT		3:4	Not enough data in minority class of the training set for all 5 folds										
Q02779_WT	Fold 1	2:20		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.15	0.85
Q02779_WT	Fold 2	2:20		-0.06900655593423542	0.8636363636363636	0.475	0.95	0.0	0.9047619047619048	0.0	0.9268292682926829	0.525	0.475
Q02779_WT	Fold 3	3:19		0.6140350877192983	0.9090909090909091	0.8070175438596491	0.9473684210526315	0.6666666666666666	0.9473684210526315	0.6666666666666666	0.9473684210526315	0.22807017543859653	0.7719298245614036
Q02779_WT	Fold 4	2:19		0.0	0.9047619047619048	0.5	1.0	0.0	0.9047619047619048	0.0	0.9500000000000001	0.05263157894736842	0.9473684210526315
Q02779_WT	Fold 5	2:19		0.0	0.9047619047619048	0.5	1.0	0.0	0.9047619047619048	0.0	0.9500000000000001	0.39473684210526316	0.6052631578947368
Q02779_WT	Mean	-		0.10900570635701257	0.8982683982683982	0.5564035087719298	0.9794736842105263	0.13333333333333333	0.9141490088858509	0.13333333333333333	0.9453157283452533	0.2700877192982456	0.7299122807017543
Q02779_WT	SD	-		0.23180083894743023	0.015905777550540106	0.11473011318502054	0.022961688755573917	0.24343224778007383	0.015239569601006142	0.24343224778007383	0.008561200706012306	0.15491469801349877	0.15491469801349877
Q02779_WT	Test set	3:4		0.0	0.5714285714285714	0.5	1.0	0.0	0.5714285714285714	0.0	0.7272727272727273	0.25	0.75
Q02763_WT	Fold 1	54:38		0.6447389077055237	0.8260869565217391	0.8245614035087719	0.8157894736842105	0.8333333333333334	0.775	0.8653846153846154	0.7948717948717949	0.10282651072124757	0.8971734892787524
Q02763_WT	Fold 2	55:37		0.7497807232532776	0.8804347826086957	0.8690417690417691	0.8108108108108109	0.9272727272727272	0.8823529411764706	0.8793103448275862	0.8450704225352113	0.08402948402948404	0.9159705159705159
Q02763_WT	Fold 3	55:37		0.5882903337721161	0.8043478260869565	0.7877149877149877	0.7027027027027027	0.8727272727272727	0.7878787878787878	0.8135593220338984	0.7428571428571429	0.13366093366093368	0.8663390663390663
Q02763_WT	Fold 4	54:37		0.6600251888626302	0.8351648351648352	0.8313313313313313	0.8108108108108109	0.8518518518518519	0.7894736842105263	0.8679245283018868	0.8	0.09309309309309309	0.9069069069069069
Q02763_WT	Fold 5	54:37		0.6650129639655473	0.8351648351648352	0.8058058058058057	0.6486486486486487	0.9629629629629629	0.9230769230769231	0.8	0.7619047619047619	0.12262262262262262	0.8773773773773773
Q02763_WT	Mean	-		0.6615696235118189	0.8362398471094125	0.8236910594805332	0.7577524893314368	0.8896296296296295	0.8315564672685417	0.8452357621095974	0.7889408244337822	0.10724652882547621	0.8927534711745239
Q02763_WT	SD	-		0.047343720612789214	0.0226409872330758	0.02493317117509054	0.06315693359769993	0.04411519714963643	0.05451851350616678	0.029244670786706527	0.032048577561516266	0.016797978625425928	0.01679797862542593
Q02763_WT	Test set	74:50		0.22546242650602852	0.5645161290322581	0.605945945945946	0.82	0.3918918918918919	0.47674418604651164	0.7631578947368421	0.6029411764705882	0.2983783783783784	0.7016216216216217
Q02750_WT	Fold 1	34:92		0.6905820036071398	0.8809523809523809	0.8350383631713556	0.9347826086956522	0.7352941176470589	0.9052631578947369	0.8064516129032258	0.9197860962566845	0.07033248081841433	0.9296675191815856
Q02750_WT	Fold 2	34:92		0.6311506950557862	0.8571428571428571	0.809462915601023	0.9130434782608695	0.7058823529411765	0.8936170212765957	0.75	0.9032258064516129	0.17838874680306904	0.821611253196931
Q02750_WT	Fold 3	34:92		0.5942270365232045	0.8492063492063492	0.7669437340153453	0.9456521739130435	0.5882352941176471	0.8613861386138614	0.8	0.9015544041450778	0.1636828644501279	0.8363171355498721
Q02750_WT	Fold 4	33:92		0.7299099370178256	0.896	0.86133069828722	0.9347826086956522	0.7878787878787878	0.9247311827956989	0.8125	0.9297297297297297	0.08761528326745716	0.9123847167325427
Q02750_WT	Fold 5	34:91		0.7927294395554114	0.92	0.8713639301874596	0.978021978021978	0.7647058823529411	0.9175257731958762	0.9285714285714286	0.9468085106382979	0.027472527472527476	0.9725274725274725
Q02750_WT	Mean	-		0.6877198223518736	0.8806603174603176	0.8288279282524809	0.9412565695174392	0.7163992869875223	0.9005046547553539	0.8195046082949309	0.9202209094442806	0.10549838056231917	0.8945016194376809
Q02750_WT	SD	-		0.0642341870649164	0.02354224869792466	0.03442133116202769	0.019368442788050288	0.06368735588691567	0.0203182360046066	0.053737536276265346	0.015463824498905673	0.052190227501654855	0.05219022750165485
Q02750_WT	Test set	188:76		0.35957664742460577	0.6287878787878788	0.6962486002239642	0.8552631578947368	0.5372340425531915	0.4276315789473684	0.9017857142857143	0.5701754385964911	0.2064669652855543	0.7935330347144457
Q02156_WT	Fold 1	12:35		0.7135439871830058	0.8936170212765957	0.8464285714285714	0.9428571428571428	0.75	0.9166666666666666	0.8181818181818182	0.9295774647887323	0.1261904761904762	0.8738095238095238
Q02156_WT	Fold 2	12:35		0.45910450047444507	0.8085106382978723	0.7071428571428571	0.9142857142857143	0.5	0.8421052631578947	0.6666666666666666	0.8767123287671234	0.2833333333333333	0.7166666666666667
Q02156_WT	Fold 3	11:35		0.6415584415584416	0.8695652173913043	0.8207792207792208	0.9142857142857143	0.7272727272727273	0.9142857142857143	0.7272727272727273	0.9142857142857143	0.14025974025974025	0.8597402597402597
Q02156_WT	Fold 4	12:34		0.4557819093751084	0.8043478260869565	0.7058823529411764	0.9117647058823529	0.5	0.8378378378378378	0.6666666666666666	0.8732394366197184	0.15441176470588236	0.8455882352941176
Q02156_WT	Fold 5	12:34		0.38048533723031325	0.782608695652174	0.6642156862745098	0.9117647058823529	0.4166666666666667	0.8157894736842105	0.625	0.861111111111111	0.11764705882352942	0.8823529411764706
Q02156_WT	Mean	-		0.5300948351642629	0.8317298797409804	0.7488897377132672	0.9189915966386554	0.5787878787878789	0.8653369911264648	0.7007575757575757	0.8909852111144799	0.1643684746625923	0.8356315253374078
Q02156_WT	SD	-		0.11476262992045615	0.03865085558422328	0.06512047044693382	0.01094159383387742	0.12251509280286009	0.03825699541842158	0.061312174455449446	0.023956088389740098	0.05548791912293797	0.05548791912293796
Q02156_WT	Test set	82:24		0.20700461418827582	0.5	0.6178861788617886	0.8333333333333334	0.4024390243902439	0.2898550724637681	0.8918918918918919	0.43010752688172044	0.27743902439024387	0.7225609756097561
Q00537_WT	Fold 1	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.2777777777777778	0.7222222222222222
Q00537_WT	Fold 2	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.38888888888888884	0.611111111111111
Q00537_WT	Fold 3	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.5	0.5
Q00537_WT	Fold 4	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.4444444444444444	0.5555555555555556
Q00537_WT	Fold 5	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.4375	0.5625
Q00537_WT	Mean	-		0.0	0.8145454545454547	0.5	1.0	0.0	0.8145454545454547	0.0	0.8977777777777778	0.40972222222222215	0.5902777777777778
Q00537_WT	SD	-		0.0	0.006639061303092925	0.0	0.0	0.0	0.006639061303092925	0.0	0.004057204129667882	0.06827722779515104	0.06827722779515104
Q00537_WT	Test set	7:8		0.0	0.5333333333333333	0.5	1.0	0.0	0.5333333333333333	0.0	0.6956521739130436	0.5357142857142857	0.4642857142857143
Q00536_WT	Fold 1	2:10		0.674199862463242	0.9166666666666666	0.75	1.0	0.5	0.9090909090909091	1.0	0.9523809523809523	0.0	1.0
Q00536_WT	Fold 2	2:10		-0.2	0.6666666666666666	0.4	0.8	0.0	0.8	0.0	0.8000000000000002	0.42500000000000004	0.575
Q00536_WT	Fold 3	2:10		0.674199862463242	0.9166666666666666	0.75	1.0	0.5	0.9090909090909091	1.0	0.9523809523809523	0.05	0.95
Q00536_WT	Fold 4	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.35	0.6499999999999999
Q00536_WT	Fold 5	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.525	0.475
Q00536_WT	Mean	-		0.2296799449852968	0.8333333333333334	0.58	0.96	0.2	0.856969696969697	0.4	0.9045887445887446	0.27	0.73
Q00536_WT	SD	-		0.3379661036871065	0.08333333333333334	0.13102162671355697	0.07302967433402213	0.22360679774997896	0.040406565577656414	0.4472135954999579	0.05090437884957416	0.19006577808748212	0.19006577808748212
Q00536_WT	Test set	9:15		-0.16151457061744964	0.5833333333333334	0.4666666666666667	0.9333333333333333	0.0	0.6086956521739131	0.0	0.7368421052631579	0.5407407407407407	0.4592592592592593
Q00535_WT	Fold 1	32:193		0.47456407605444223	0.8933333333333333	0.6641029792746114	0.9844559585492227	0.34375	0.9004739336492891	0.7857142857142857	0.9405940594059407	0.147830310880829	0.852169689119171
Q00535_WT	Fold 2	32:193		0.557653766099376	0.9066666666666666	0.7109779792746114	0.9844559585492227	0.4375	0.9134615384615384	0.8235294117647058	0.9476309226932669	0.10297927461139895	0.897020725388601
Q00535_WT	Fold 3	32:193		0.3502834054029197	0.8711111111111111	0.6250809585492227	0.9689119170984456	0.28125	0.8904761904761904	0.6	0.9280397022332506	0.2307318652849741	0.7692681347150259
Q00535_WT	Fold 4	32:193		0.3951780845710569	0.8666666666666667	0.6746275906735751	0.9430051813471503	0.40625	0.9054726368159204	0.5416666666666666	0.9238578680203046	0.19802461139896374	0.8019753886010362
Q00535_WT	Fold 5	32:192		0.4026580281756729	0.8839285714285714	0.6067708333333333	0.9947916666666666	0.21875	0.8842592592592593	0.875	0.9362745098039216	0.21761067708333334	0.7823893229166667
Q00535_WT	Mean	-		0.4360674720606935	0.8843412698412697	0.6563120682210707	0.9751241364421416	0.3375	0.8988287117324395	0.7251820728291316	0.9352794124313368	0.17943534785189985	0.8205646521481003
Q00535_WT	SD	-		0.06634788926489654	0.013334663891786383	0.03370023406101448	0.016488362049120596	0.07306532465312576	0.009513163428102928	0.11911494087017412	0.00779594528672448	0.0433563887626184	0.043356388762618395
Q00535_WT	Test set	44:86		0.11054353508960037	0.6692307692307692	0.5224630021141649	0.9767441860465116	0.06818181818181818	0.672	0.6	0.7962085308056872	0.35914376321353064	0.6408562367864693
Q00526_WT	Fold 1	2:8		-0.16666666666666666	0.7	0.4375	0.875	0.0	0.7777777777777778	0.0	0.823529411764706	0.25	0.75
Q00526_WT	Fold 2	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.3125	0.6875
Q00526_WT	Fold 3	1:8		-0.125	0.7777777777777778	0.4375	0.875	0.0	0.875	0.0	0.875	0.25	0.75
Q00526_WT	Fold 4	1:8		0.0	0.8888888888888888	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882353	0.0	1.0
Q00526_WT	Fold 5	2:7		0.0	0.7777777777777778	0.5	1.0	0.0	0.7777777777777778	0.0	0.8750000000000001	0.21428571428571427	0.7857142857142857
