target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q13976_WT	Fold 4	14:104		0.4432218291199359	0.9067796610169492	0.6380494505494505	0.9903846153846154	0.2857142857142857	0.911504424778761	0.8	0.9493087557603687	0.1366758241758242	0.8633241758241759
Q13976_WT	Fold 5	14:104		0.4222852119122812	0.8983050847457628	0.6641483516483516	0.9711538461538461	0.35714285714285715	0.9181818181818182	0.625	0.9439252336448598	0.09409340659340659	0.9059065934065934
Q13976_WT	Mean	-		0.4017744496767941	0.8984617575843897	0.6375274725274725	0.9807692307692308	0.2942857142857143	0.9107799296190073	0.6849999999999999	0.9444421024666212	0.14789377289377287	0.852106227106227
Q13976_WT	SD	-		0.07143926579955583	0.00860889989710148	0.033538656870083464	0.007850928662766614	0.06831300510639733	0.006523312527127328	0.09958246164193105	0.004640781541774459	0.036143411783386856	0.03614341178338687
Q13976_WT	Test set	9:27		0.2041241452319315	0.75	0.5740740740740741	0.9259259259259259	0.2222222222222222	0.78125	0.5	0.847457627118644	0.2674897119341564	0.7325102880658436
Q13882_WT	Fold 1	6:92		-0.02592960162152532	0.9285714285714286	0.4945652173913043	0.9891304347826086	0.0	0.9381443298969072	0.0	0.9629629629629629	0.2536231884057971	0.7463768115942029
Q13882_WT	Fold 2	6:92		0.0	0.9387755102040817	0.5	1.0	0.0	0.9387755102040817	0.0	0.968421052631579	0.27355072463768115	0.7264492753623188
Q13882_WT	Fold 3	6:92		0.39758722486338827	0.9489795918367347	0.5833333333333334	1.0	0.16666666666666666	0.9484536082474226	1.0	0.9735449735449735	0.20108695652173908	0.798913043478261
Q13882_WT	Fold 4	6:92		0.2641668381108574	0.9387755102040817	0.5778985507246377	0.9891304347826086	0.16666666666666666	0.9479166666666666	0.5	0.9680851063829786	0.20652173913043476	0.7934782608695652
Q13882_WT	Fold 5	5:92		0.18614026994044472	0.9278350515463918	0.5836956521739131	0.967391304347826	0.2	0.956989247311828	0.25	0.9621621621621621	0.3521739130434783	0.6478260869565218
Q13882_WT	Mean	-		0.16439294625863304	0.9365874184725437	0.5478985507246377	0.9891304347826086	0.10666666666666666	0.9460558724653811	0.35	0.9670352515369313	0.2573913043478261	0.7426086956521739
Q13882_WT	SD	-		0.14609075955711118	0.007118069406379244	0.037806022220144536	0.010869565217391316	0.08027729719194864	0.0063815692681015	0.3415650255319866	0.0037799835709044754	0.050028259884684664	0.05002825988468465
Q13882_WT	Test set	51:87		0.0925638878144958	0.6376811594202898	0.5179175118323192	0.9770114942528736	0.058823529411764705	0.6390977443609023	0.6	0.7727272727272727	0.37818345729096237	0.6218165427090376
Q13873_WT		4:49	Not enough data in minority class of the training set for all 5 folds										
Q13705_WT		3:53	Not enough data in minority class for all 5 folds										
Q13627_WT	Fold 1	49:209		0.472719302428565	0.8604651162790697	0.6717117468997168	0.9760765550239234	0.3673469387755102	0.8680851063829788	0.782608695652174	0.9189189189189189	0.15262181427594962	0.8473781857240503
Q13627_WT	Fold 2	48:209		0.5053428032551155	0.867704280155642	0.7020035885167464	0.9665071770334929	0.4375	0.8820960698689956	0.75	0.9223744292237442	0.12848883572567785	0.8715111642743222
Q13627_WT	Fold 3	49:208		0.5330617365042752	0.8715953307392996	0.7178669544740973	0.9663461538461539	0.46938775510204084	0.8854625550660793	0.7666666666666667	0.9241379310344827	0.14923469387755103	0.850765306122449
Q13627_WT	Fold 4	49:208		0.5369846557355039	0.8715953307392996	0.7256671899529042	0.9615384615384616	0.4897959183673469	0.8888888888888888	0.75	0.9237875288683602	0.19888147566718997	0.8011185243328101
Q13627_WT	Fold 5	49:208		0.48906909004579235	0.8560311284046692	0.7160518053375196	0.9423076923076923	0.4897959183673469	0.8868778280542986	0.6666666666666666	0.9137529137529138	0.13657770800627944	0.8634222919937206
Q13627_WT	Mean	-		0.5074355175938504	0.8654782372635961	0.7066602570361968	0.9625552079499448	0.45076530612244897	0.8822820896522483	0.7431884057971014	0.9205943443596839	0.15316090551052958	0.8468390944894704
Q13627_WT	SD	-		0.02264499713013723	0.005688763485095433	0.017407554242917195	0.010196501197868631	0.041889070467469515	0.006788162554152753	0.0366368670795633	0.0035481065163063302	0.022322596024095566	0.022322596024095566
Q13627_WT	Test set	226:371		0.01775596539743752	0.6080402010050251	0.5047825775827112	0.9299191374663073	0.07964601769911504	0.6238698010849909	0.4090909090909091	0.7467532467532468	0.4747036233094005	0.5252963766905995
Q13557_WT	Fold 1	10:134		0.30611483744878115	0.9375	0.55	1.0	0.1	0.9370629370629371	1.0	0.9675090252707581	0.208955223880597	0.7910447761194029
Q13557_WT	Fold 2	10:134		0.28628939985455826	0.9305555555555556	0.5925373134328358	0.9850746268656716	0.2	0.9428571428571428	0.5	0.9635036496350364	0.14701492537313432	0.8529850746268657
Q13557_WT	Fold 3	10:134		-0.03984727911147916	0.9097222222222222	0.48880597014925375	0.9776119402985075	0.0	0.9290780141843972	0.0	0.9527272727272726	0.3805970149253732	0.6194029850746269
Q13557_WT	Fold 4	9:134		0.363916263702635	0.9440559440559441	0.607379767827529	0.9925373134328358	0.2222222222222222	0.95	0.6666666666666666	0.9708029197080291	0.21393034825870647	0.7860696517412935
Q13557_WT	Fold 5	9:134		0.32380755118348137	0.9440559440559441	0.5555555555555556	1.0	0.1111111111111111	0.9436619718309859	1.0	0.9710144927536231	0.23880597014925375	0.7611940298507462
Q13557_WT	Mean	-		0.24805615461559533	0.9331779331779332	0.5588557213930349	0.991044776119403	0.12666666666666665	0.9405320131870927	0.6333333333333333	0.965111472018944	0.23786069651741296	0.7621393034825872
Q13557_WT	SD	-		0.1334683594248171	0.011636077115096705	0.03760610604226849	0.007944636528692187	0.07246398282308504	0.0064300625410819495	0.3388433484883757	0.006177107968148136	0.07075272925929783	0.07075272925929782
Q13557_WT	Test set	35:34		-0.0741645600740017	0.4782608695652174	0.48487394957983193	0.9411764705882353	0.02857142857142857	0.48484848484848486	0.3333333333333333	0.64	0.5672268907563025	0.4327731092436975
Q13555_WT	Fold 1	6:126		0.0	0.9545454545454546	0.5	1.0	0.0	0.9545454545454546	0.0	0.9767441860465117	0.2777777777777778	0.7222222222222222
Q13555_WT	Fold 2	7:125		0.6444240777830839	0.9696969696969697	0.7142857142857143	1.0	0.42857142857142855	0.9689922480620154	1.0	0.9842519685039369	0.09714285714285716	0.9028571428571428
Q13555_WT	Fold 3	7:125		0.48430205599379816	0.9545454545454546	0.7062857142857143	0.984	0.42857142857142855	0.968503937007874	0.6	0.976190476190476	0.09485714285714288	0.905142857142857
Q13555_WT	Fold 4	6:125		0.5683286162253945	0.9694656488549618	0.6666666666666666	1.0	0.3333333333333333	0.9689922480620154	1.0	0.9842519685039369	0.07866666666666665	0.9213333333333333
Q13555_WT	Fold 5	6:125		0.0	0.9541984732824428	0.5	1.0	0.0	0.9541984732824428	0.0	0.9765625	0.18666666666666665	0.8133333333333334
Q13555_WT	Mean	-		0.3394109500004553	0.9604904001850567	0.617447619047619	0.9968	0.23809523809523808	0.9630464721919605	0.52	0.9796002198489724	0.14702222222222222	0.8529777777777777
Q13555_WT	SD	-		0.25717352267357413	0.006777279595922006	0.08876957525273949	0.005842373946721777	0.1802828046285801	0.0064684208446346	0.40987803063838396	0.0034710362015836047	0.06898106723967197	0.06898106723967196
Q13555_WT	Test set	6:8		0.05892556509887897	0.5714285714285714	0.5208333333333334	0.875	0.16666666666666666	0.5833333333333334	0.5	0.7000000000000001	0.4583333333333333	0.5416666666666667
Q13554_WT		16:659	No test data for temporal split at 2013										
Q13546_WT	Fold 1	2:10		0.674199862463242	0.9166666666666666	0.75	1.0	0.5	0.9090909090909091	1.0	0.9523809523809523	0.0	1.0
Q13546_WT	Fold 2	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.25	0.75
Q13546_WT	Fold 3	1:10		-0.1	0.8181818181818182	0.45	0.9	0.0	0.9	0.0	0.9	1.0	0.0
Q13546_WT	Fold 4	1:10		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q13546_WT	Fold 5	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.4722222222222222	0.5277777777777778
Q13546_WT	Mean	-		0.3148399724926484	0.8772727272727273	0.64	0.9800000000000001	0.3	0.8921212121212122	0.4	0.9322943722943723	0.34444444444444444	0.6555555555555556
Q13546_WT	SD	-		0.4018549516823196	0.06522781531702196	0.19017535767461216	0.036514837167011066	0.3651483716701107	0.059035197772715764	0.4472135954999579	0.03561782416851888	0.33967728572310213	0.3396772857231022
Q13546_WT	Test set	128:51		-0.3654353911582563	0.22905027932960895	0.37247242647058826	0.7058823529411765	0.0390625	0.22641509433962265	0.25	0.34285714285714286	0.657015931372549	0.3429840686274509
Q13470_WT	Fold 1	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.6	0.4
Q13470_WT	Fold 2	3:9		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.11111111111111112	0.888888888888889
Q13470_WT	Fold 3	2:9		-0.2222222222222222	0.6363636363636364	0.3888888888888889	0.7777777777777778	0.0	0.7777777777777778	0.0	0.7777777777777778	0.3333333333333333	0.6666666666666667
Q13470_WT	Fold 4	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.2777777777777778	0.7222222222222222
Q13470_WT	Fold 5	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.4444444444444444	0.5555555555555556
Q13470_WT	Mean	-		-0.07425868414444163	0.7530303030303032	0.4666666666666666	0.9333333333333332	0.0	0.7958585858585859	0.0	0.8572233614338878	0.3533333333333334	0.6466666666666667
Q13470_WT	SD	-		0.085667163504349	0.06452007847543965	0.04057204129667897	0.08114408259335794	0.0	0.026925081951432422	0.0	0.04293453824496971	0.14940210056863654	0.14940210056863656
Q13470_WT	Test set	35:105		0.13794014696151086	0.7428571428571429	0.5428571428571428	0.9428571428571428	0.14285714285714285	0.7674418604651163	0.45454545454545453	0.8461538461538461	0.35551020408163264	0.6444897959183673
Q13464_WT	Fold 1	57:194		0.700495776676538	0.900398406374502	0.8178694158075601	0.9690721649484536	0.6666666666666666	0.9082125603864735	0.8636363636363636	0.9376558603491272	0.09133658889491773	0.9086634111050824
Q13464_WT	Fold 2	57:194		0.6143448540249936	0.8725099601593626	0.7812443479833604	0.9484536082474226	0.6140350877192983	0.8932038834951457	0.7777777777777778	0.92	0.12949900524507146	0.8705009947549286
Q13464_WT	Fold 3	57:194		0.5230104678973289	0.848605577689243	0.716223548562127	0.9587628865979382	0.47368421052631576	0.8611111111111112	0.7714285714285715	0.9073170731707317	0.11846626876469525	0.8815337312353048
Q13464_WT	Fold 4	57:194		0.53413038633643	0.852589641434263	0.7126062579128233	0.9690721649484536	0.45614035087719296	0.8584474885844748	0.8125	0.9104116222760291	0.15843733043950084	0.8415626695604992
Q13464_WT	Fold 5	57:194		0.6232069530772976	0.8764940239043825	0.7776270573340568	0.9587628865979382	0.5964912280701754	0.8899521531100478	0.8095238095238095	0.923076923076923	0.14749502622535723	0.8525049737746427
Q13464_WT	Mean	-		0.5990376876025176	0.8701195219123505	0.7611141255199855	0.9608247422680412	0.5614035087719298	0.8821854393374504	0.8069733044733045	0.9196922957745622	0.1290468439139085	0.8709531560860915
Q13464_WT	SD	-		0.059308940402178996	0.016996596818885677	0.037119722674411666	0.00704257784602035	0.07511831917348029	0.017638766967130362	0.029898602362608686	0.009776818425673517	0.021363334956424528	0.021363334956424573
Q13464_WT	Test set	143:85		0.06812586505341968	0.4342105263157895	0.5250925545043192	0.8823529411764706	0.16783216783216784	0.3865979381443299	0.7058823529411765	0.5376344086021506	0.39407651172357056	0.6059234882764294
Q13237_WT	Fold 1	7:109		0.24455158350589432	0.9396551724137931	0.5668414154652687	0.9908256880733946	0.14285714285714285	0.9473684210526315	0.5	0.9686098654708519	0.15203145478374838	0.8479685452162518
Q13237_WT	Fold 2	8:108		0.5079151936252192	0.9482758620689655	0.6828703703703703	0.9907407407407407	0.375	0.9553571428571429	0.75	0.9727272727272727	0.125	0.875
Q13237_WT	Fold 3	8:108		0.4866642633922876	0.9482758620689655	0.625	1.0	0.25	0.9473684210526315	1.0	0.972972972972973	0.2048611111111111	0.795138888888889
Q13237_WT	Fold 4	8:108		0.6453750129456481	0.9568965517241379	0.8032407407407407	0.9814814814814815	0.625	0.9724770642201835	0.7142857142857143	0.9769585253456222	0.12962962962962965	0.8703703703703703
Q13237_WT	Fold 5	7:108		0.522562972935014	0.9565217391304348	0.6428571428571428	1.0	0.2857142857142857	0.9557522123893806	1.0	0.9773755656108597	0.09788359788359789	0.9021164021164022
Q13237_WT	Mean	-		0.4814138052808127	0.9499250374812593	0.6641619338867045	0.9926095820591232	0.3357142857142857	0.9556646523143939	0.7928571428571429	0.9737288404255159	0.1418811586816174	0.8581188413183826
Q13237_WT	SD	-		0.11931061325817922	0.00581704637354566	0.07205525033378045	0.006321207990742871	0.14847581630424156	0.008370726065882362	0.17300859166271382	0.0029299558388889827	0.032762686493691	0.032762686493691
Q13237_WT	Test set	12:30		0.2469323991623974	0.7380952380952381	0.5416666666666666	1.0	0.08333333333333333	0.7317073170731707	1.0	0.8450704225352113	0.12777777777777777	0.8722222222222222
Q13233_WT		4:23	Not enough data in minority class of the training set for all 5 folds										
Q13188_WT	Fold 1	26:151		0.5880032143028439	0.9096045197740112	0.7241467142129394	0.9867549668874173	0.46153846153846156	0.9141104294478528	0.8571428571428571	0.9490445859872613	0.1423841059602649	0.857615894039735
Q13188_WT	Fold 2	26:151		0.6785026556016834	0.9265536723163842	0.75	1.0	0.5	0.9207317073170732	1.0	0.9587301587301587	0.0888945491594498	0.9111054508405502
Q13188_WT	Fold 3	26:151		0.6173233534919035	0.9152542372881356	0.727457972491085	0.9933774834437086	0.46153846153846156	0.9146341463414634	0.9230769230769231	0.9523809523809523	0.10799796230259806	0.8920020376974019
Q13188_WT	Fold 4	27:150		0.37259586414422075	0.8700564971751412	0.6196296296296296	0.98	0.25925925925925924	0.8802395209580839	0.7	0.9274447949526814	0.18518518518518517	0.8148148148148149
Q13188_WT	Fold 5	27:150		0.533106899288308	0.8926553672316384	0.7240740740740741	0.9666666666666667	0.48148148148148145	0.9119496855345912	0.7222222222222222	0.9385113268608414	0.16592592592592592	0.8340740740740741
Q13188_WT	Mean	-		0.5579063973657918	0.9028248587570621	0.7090616780815455	0.9853598233995584	0.43276353276353274	0.9083330979198129	0.8404884004884006	0.945222363782379	0.13807754570668476	0.8619224542933152
Q13188_WT	SD	-		0.09481091655965457	0.01798468758766603	0.04176400261854149	0.010477960077724292	0.08026405072215852	0.013096660250248658	0.10509207467901317	0.010077989777358526	0.03249860747380376	0.032498607473803745
Q13188_WT	Test set	19:48		0.2607427991259161	0.746268656716418	0.5685307017543859	0.9791666666666666	0.15789473684210525	0.746031746031746	0.75	0.846846846846847	0.33004385964912286	0.6699561403508772
Q13177_WT		5:50	Not enough data in minority class of the training set for all 5 folds										
Q13164_WT		2:10	Not enough data in minority class of the training set for all 5 folds										
Q13164_WT	Fold 1	3:12		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.6666666666666666	0.33333333333333337
Q13164_WT	Fold 2	4:11		0.533001790889026	0.8	0.7840909090909092	0.8181818181818182	0.75	0.9	0.6	0.8571428571428572	0.09090909090909091	0.9090909090909092
Q13164_WT	Fold 3	4:11		0.45226701686664544	0.8	0.7045454545454546	0.9090909090909091	0.5	0.8333333333333334	0.6666666666666666	0.8695652173913043	0.18181818181818182	0.8181818181818181
Q13164_WT	Fold 4	4:11		0.8528028654224417	0.9333333333333333	0.9545454545454546	0.9090909090909091	1.0	1.0	0.8	0.9523809523809523	0.045454545454545456	0.9545454545454546
Q13164_WT	Fold 5	4:11		0.6504436355879909	0.8666666666666667	0.75	1.0	0.5	0.8461538461538461	1.0	0.9166666666666666	0.11363636363636363	0.8863636363636364
Q13164_WT	Mean	-		0.49770306175322077	0.8400000000000002	0.7386363636363636	0.9272727272727274	0.55	0.875897435897436	0.6133333333333333	0.8969289164941339	0.21969696969696967	0.7803030303030303
Q13164_WT	SD	-		0.25834225541367994	0.048686449556014755	0.13349250141444013	0.06210273191490665	0.3027650354097492	0.06382160651231557	0.30647336903216554	0.031253937504078115	0.20793120050746364	0.20793120050746364
Q13164_WT	Test set	2:10		-0.2	0.6666666666666666	0.4	0.8	0.0	0.8	0.0	0.8000000000000002	0.7	0.30000000000000004
Q13163_WT	Fold 1	5:5		-0.3333333333333333	0.4	0.4	0.0	0.8	0.0	0.4444444444444444	0.0	0.72	0.27999999999999997
Q13163_WT	Fold 2	6:4		0.0	0.6	0.5	0.0	1.0	0.0	0.6	0.0	0.625	0.375
Q13163_WT	Fold 3	6:4		-0.408248290463863	0.3	0.29166666666666663	0.25	0.3333333333333333	0.2	0.4	0.22222222222222224	0.875	0.125
Q13163_WT	Fold 4	6:4		-0.25	0.4	0.375	0.25	0.5	0.25	0.5	0.25	0.4166666666666667	0.5833333333333334
Q13163_WT	Fold 5	6:4		-0.6666666666666666	0.2	0.16666666666666666	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.8333333333333334	0.16666666666666666
Q13163_WT	Mean	-		-0.33164965809277264	0.38	0.3466666666666667	0.1	0.5933333333333334	0.09	0.45555555555555555	0.09444444444444444	0.694	0.306
Q13163_WT	SD	-		0.19780661585538425	0.12110601416389967	0.10213009133235687	0.11180339887498948	0.24221202832779934	0.1016530045465127	0.0826515318682274	0.10589613670737627	0.14973618776343256	0.14973618776343256
Q13163_WT	Test set	12:36		-0.12297974198582046	0.3958333333333333	0.4305555555555556	0.3611111111111111	0.5	0.6842105263157895	0.20689655172413793	0.4727272727272728	0.6597222222222221	0.34027777777777773
Q13153_WT	Fold 1	2:160		0.0	0.9876543209876543	0.5	1.0	0.0	0.9876543209876543	0.0	0.9937888198757764	0.29218750000000004	0.7078125
Q13153_WT	Fold 2	1:160		0.0	0.9937888198757764	0.5	1.0	0.0	0.9937888198757764	0.0	0.9968847352024921	0.0	1.0
Q13153_WT	Fold 3	1:160		-0.00625	0.9875776397515528	0.496875	0.99375	0.0	0.99375	0.0	0.99375	0.56875	0.43125
Q13153_WT	Fold 4	2:159		0.0	0.9875776397515528	0.5	1.0	0.0	0.9875776397515528	0.0	0.99375	0.012578616352201259	0.9874213836477987
Q13153_WT	Fold 5	2:159		0.0	0.9875776397515528	0.5	1.0	0.0	0.9875776397515528	0.0	0.99375	0.03459119496855346	0.9654088050314465
Q13153_WT	Mean	-		-0.00125	0.9888352120236179	0.499375	0.99875	0.0	0.9900696840733072	0.0	0.9943847110156536	0.18162146226415093	0.8183785377358491
Q13153_WT	SD	-		0.002282177322938192	0.0022611648344082387	0.001141088661469092	0.002282177322938184	0.0	0.0027577540703801226	0.0	0.0011411822382612444	0.20218518419182627	0.20218518419182627
Q13153_WT	Test set	128:79		0.0	0.38164251207729466	0.5	1.0	0.0	0.38164251207729466	0.0	0.5524475524475524	0.38592761075949367	0.6140723892405062
Q13131_WT	Fold 1	17:187		0.4690415759823429	0.9362745098039216	0.6176470588235294	1.0	0.23529411764705882	0.935	1.0	0.9664082687338501	0.1852783894306386	0.8147216105693614
Q13131_WT	Fold 2	17:187		-0.04264014327112208	0.8970588235294118	0.4893048128342246	0.9786096256684492	0.0	0.915	0.0	0.9457364341085273	0.2884554891475307	0.7115445108524694
Q13131_WT	Fold 3	17:187		0.47237749297333015	0.9362745098039216	0.6443850267379679	0.9946524064171123	0.29411764705882354	0.9393939393939394	0.8333333333333334	0.9662337662337662	0.12582573136206354	0.8741742686379366
Q13131_WT	Fold 4	17:187		0.262431940540739	0.9166666666666666	0.5802139037433155	0.983957219251337	0.17647058823529413	0.9292929292929293	0.5	0.9558441558441558	0.15476564957533817	0.8452343504246618
Q13131_WT	Fold 5	17:187		0.29631511877002636	0.9215686274509803	0.5828877005347594	0.9893048128342246	0.17647058823529413	0.9296482412060302	0.6	0.9585492227979275	0.25196602705253224	0.7480339729474678
Q13131_WT	Mean	-		0.2915051969990633	0.9215686274509803	0.5828877005347594	0.9893048128342246	0.17647058823529413	0.9296670219785799	0.5866666666666667	0.9585543695436453	0.20125825731362063	0.7987417426863794
Q13131_WT	SD	-		0.17163694790958703	0.013274572556594701	0.04788012840842529	0.006903713629603223	0.08985442539129099	0.007509054631545339	0.311864167963008	0.00697975190126037	0.05519906381254251	0.05519906381254249
Q13131_WT	Test set	11:44		-0.06804138174397717	0.7818181818181819	0.48863636363636365	0.9772727272727273	0.0	0.7962962962962963	0.0	0.8775510204081632	0.40289256198347106	0.5971074380165289
Q13043_WT	Fold 1	3:9		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.33333333333333337	0.6666666666666667
Q13043_WT	Fold 2	3:9		0.5222329678670935	0.8333333333333334	0.6666666666666666	1.0	0.3333333333333333	0.8181818181818182	1.0	0.9	0.11111111111111112	0.888888888888889
Q13043_WT	Fold 3	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.4444444444444444	0.5555555555555556
Q13043_WT	Fold 4	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.0	1.0
Q13043_WT	Fold 5	3:8		0.5163977794943222	0.8181818181818182	0.6666666666666666	1.0	0.3333333333333333	0.8	1.0	0.888888888888889	0.4166666666666667	0.5833333333333334
Q13043_WT	Mean	-		0.31207598842227335	0.8075757575757576	0.6055555555555554	0.9777777777777779	0.2333333333333333	0.8136363636363637	0.6	0.8871010860484546	0.2611111111111111	0.738888888888889
Q13043_WT	SD	-		0.2957079214550137	0.05894179580159659	0.10442868281386433	0.04057204129667899	0.18257418583505536	0.04453617714151233	0.447213595499958	0.03347598503751145	0.16005400323208815	0.16005400323208813
Q13043_WT	Test set	6:15		0.5129891760425771	0.8095238095238095	0.6666666666666666	1.0	0.3333333333333333	0.7894736842105263	1.0	0.8823529411764706	0.2333333333333333	0.7666666666666667
Q12866_WT	Fold 1	3:11		0.2842676218074806	0.7857142857142857	0.6212121212121212	0.9090909090909091	0.3333333333333333	0.8333333333333334	0.5	0.8695652173913043	0.21212121212121213	0.7878787878787878
Q12866_WT	Fold 2	3:11		0.0	0.7857142857142857	0.5	1.0	0.0	0.7857142857142857	0.0	0.88	0.3030303030303031	0.696969696969697
Q12866_WT	Fold 3	4:10		0.055048188256318034	0.6428571428571429	0.525	0.8	0.25	0.7272727272727273	0.3333333333333333	0.761904761904762	0.25	0.7500000000000001
Q12866_WT	Fold 4	4:10		-0.2581988897471611	0.5714285714285714	0.4	0.8	0.0	0.6666666666666666	0.0	0.7272727272727272	0.55	0.44999999999999996
Q12866_WT	Fold 5	3:10		0.5270462766947299	0.8461538461538461	0.6666666666666666	1.0	0.3333333333333333	0.8333333333333334	1.0	0.9090909090909091	0.33333333333333337	0.6666666666666667
Q12866_WT	Mean	-		0.12163263940227349	0.7263736263736263	0.5425757575757575	0.9018181818181817	0.1833333333333333	0.7692640692640692	0.36666666666666664	0.8295667231319405	0.32969696969696977	0.6703030303030303
Q12866_WT	SD	-		0.24300560125334933	0.09342813800229142	0.08566570729758333	0.08171710928816082	0.13944333775567924	0.058835718516306805	0.3388433484883757	0.06520441408506059	0.10757433488887107	0.10757433488887108
Q12866_WT	Test set	153:84		0.5423549663862455	0.7510548523206751	0.783029878618114	0.8928571428571429	0.673202614379085	0.6	0.9196428571428571	0.7177033492822966	0.16468253968253968	0.8353174603174603
Q12851_WT	Fold 1	27:190		0.45855860570401663	0.9032258064516129	0.6587719298245613	0.9842105263157894	0.3333333333333333	0.9121951219512195	0.75	0.9468354430379746	0.23372319688109164	0.7662768031189084
Q12851_WT	Fold 2	27:190		0.4434663215908516	0.8940092165898618	0.6852826510721247	0.9631578947368421	0.4074074074074074	0.9195979899497487	0.6111111111111112	0.9408740359897172	0.2280701754385965	0.7719298245614036
Q12851_WT	Fold 3	27:190		0.447331329764338	0.9032258064516129	0.6111111111111112	1.0	0.2222222222222222	0.9004739336492891	1.0	0.9476309226932668	0.2834307992202729	0.7165692007797271
Q12851_WT	Fold 4	27:190		0.4220580213742549	0.8986175115207373	0.6402534113060429	0.9842105263157894	0.2962962962962963	0.9077669902912622	0.7272727272727273	0.9444444444444444	0.24619883040935675	0.7538011695906434
Q12851_WT	Fold 5	27:190		0.48570401903805843	0.9078341013824884	0.6614035087719298	0.9894736842105263	0.3333333333333333	0.912621359223301	0.8181818181818182	0.9494949494949495	0.18109161793372322	0.8189083820662768
Q12851_WT	Mean	-		0.4514236594943039	0.9013824884792626	0.651364522417154	0.9842105263157894	0.3185185185185185	0.9105310790129639	0.7813131313131313	0.9458559591320705	0.23450292397660819	0.7654970760233918
Q12851_WT	SD	-		0.019010775888035767	0.0042900891071486575	0.02254582110163932	0.010956136839295433	0.05493480360811602	0.005746499565259976	0.1169421878178996	0.0027130569209020037	0.030070714004511445	0.03007071400451145
Q12851_WT	Test set	39:25		0.07442084075352506	0.421875	0.5184615384615384	0.96	0.07692307692307693	0.4	0.75	0.5647058823529413	0.3887179487179488	0.6112820512820513
Q09013_WT		0:2	Only one activity class in traing set for temporal split at 2013										
Q08345_WT	Fold 1	6:8		0.28867513459481287	0.6428571428571429	0.6458333333333333	0.625	0.6666666666666666	0.7142857142857143	0.5714285714285714	0.6666666666666666	0.20833333333333334	0.7916666666666666
Q08345_WT	Fold 2	7:7		-0.28867513459481287	0.35714285714285715	0.3571428571428571	0.2857142857142857	0.42857142857142855	0.3333333333333333	0.375	0.30769230769230765	0.7142857142857142	0.2857142857142857
Q08345_WT	Fold 3	6:7		0.5476190476190477	0.7692307692307693	0.7738095238095238	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.7142857142857143	0.7692307692307692	0.07142857142857142	0.9285714285714286
Q08345_WT	Fold 4	6:7		0.7200822998230956	0.8461538461538461	0.8333333333333333	1.0	0.6666666666666666	0.7777777777777778	1.0	0.8750000000000001	0.0952380952380952	0.9047619047619048
Q08345_WT	Fold 5	6:7		0.07142857142857142	0.5384615384615384	0.5357142857142857	0.5714285714285714	0.5	0.5714285714285714	0.5	0.5714285714285714	0.3333333333333333	0.6666666666666667
Q08345_WT	Mean	-		0.2678259837741429	0.6307692307692307	0.6291666666666667	0.6392857142857142	0.619047619047619	0.6460317460317461	0.6321428571428571	0.638003663003663	0.2845238095238095	0.7154761904761905
Q08345_WT	SD	-		0.3244277164982895	0.15763901283166512	0.1557849276682008	0.21038109250033057	0.1296836082410174	0.1635254499223861	0.19550649379405854	0.17689319715733523	0.21374490839656807	0.21374490839656812
Q08345_WT	Test set	109:31		0.0009343423949345721	0.6714285714285714	0.5004439183190293	0.1935483870967742	0.8073394495412844	0.2222222222222222	0.7787610619469026	0.20689655172413793	0.4968925717667949	0.5031074282332051
Q07912_WT	Fold 1	10:69		0.5264489080629066	0.9113924050632911	0.6927536231884058	0.9855072463768116	0.4	0.918918918918919	0.8	0.951048951048951	0.13478260869565217	0.8652173913043478
Q07912_WT	Fold 2	10:69		0.6093729982498102	0.9240506329113924	0.7427536231884058	0.9855072463768116	0.5	0.9315068493150684	0.8333333333333334	0.9577464788732394	0.1043478260869565	0.8956521739130435
Q07912_WT	Fold 3	11:68		0.5747884646656032	0.9113924050632911	0.7199197860962567	0.9852941176470589	0.45454545454545453	0.9178082191780822	0.8333333333333334	0.9503546099290779	0.15775401069518719	0.8422459893048129
